468;Originele factuur voor deze vordering niet gevonden
490;Mislukt
491;Validatiefout
492;Technische fout
500;Paypermail: transactie pending
501;OnlineGiro transactie verwerkt
541;Transactiekosten zijn verrekend met saldo
550;De uitbetaling is nog niet verwerkt.
551;De uitbetaling is succesvol verwerkt.
552;De uitbetaling is geannuleerd.
553;De uitbetaling is mislukt.
554;Uitbetaling geannuleerd. Onvoldoende saldo.
555;Uitbetaling mislukt. Ongeldige rekeningnummers.
556;De uitbetaling is door de bank teruggestort wegens incorrecte rekeninggegevens
560;Correctiebetaling uitgevoerd door Buckaroo.
581;Overschrijving van of naar ander Buck-account
590;De partnerprovisie is verwerkt.
600;Eenmalige machtiging is nog niet verwerkt.
601;Eenmalige machtiging is met succes verwerkt.
602;Eenmalige machtiging is door de bank afgewezen.
605;Eenmalige machtiging is gestorneerd.
609;Eenmalige machtiging is geannuleerd voordat incasso plaatsvond.
610;Eenmalige machtiging is door de bank afgewezen. Rekening ongeldig.
612;Terugboeking wegens Melding Onterechte Incasso
690;Afgewezen
700;De betaalopdracht is geaccepteerd en wordt in behandeling genomen.
701;De betaalopdracht is verwerkt.
702;De betaalopdracht is door de bank teruggestort wegens incorrecte rekeninggegevens
703;De betaalopdracht is afgewezen door Buckaroo.
704;Betaalopdracht geannuleerd
705;De batch kon niet worden ingepland. Error: [waarde]
706;Betaalopdracht mislukt. Ongeldige rekeningnummers.
707;Betaalopdracht geannuleerd. Onvoldoende saldo.
708;De betaalopdracht is door de bank teruggestort wegens incorrecte rekeninggegevens
710;Betaalopdracht nog niet geverifieerd.
711;De batch kon niet gevonden worden: [waarde].
712;De batch is reeds verwerkt: [waarde].
720;Er is voor deze batch-transactie geen klant-id opgegeven.
721;Het opgegeven klant-id kon niet worden gevonden: [waarde].
790;Pending Input
791;Pending Processing
792;AwaitingConsumer
793;Transactie in wachtstand.
800;Deze iDeal-transactie is nog niet volledig verwerkt.
801;Deze iDeal-transactie is met succes verwerkt.
802;Deze iDeal-transactie is door de consument geannuleerd. Trx: [waarde]
803;Deze iDeal-transactie is niet binnen de maximale, toegestane tijd uitgevoerd. Trx: [waarde]
804;Deze iDeal-transactie is om onbekende reden bij de bank mislukt. Trx: [waarde]
810;Issuer (bank) is onbekend: [waarde]
811;Om technische reden kon de status van deze transactie nog niet bij de bank worden achterhaald. De transactie is nog niet afgerond.
812;De entrance-code [waarde] is ongeldig.
813;Acquirer-code is onbekend: [waarde].
814;Er is een systeemfout opgetreden. We zullen deze zo snel mogelijk verhelpen. De status zal daarna worden herzien.
815;Op dit moment is de betaalmethode iDEAL niet beschikbaar wegens een storing bij de bank
816;Er kon geen transactie worden gevonden. Criteria: [waarde]
820;Deze Giropay-transactie is nog niet volledig verwerkt.
821;Deze Giropay-transactie is met succes verwerkt.
822;Deze Giropay-transactie is door de consument geannuleerd. Trx: [waarde]
823;Deze Giropay-transactie is niet binnen de maximale, toegestane tijd uitgevoerd. Trx: [waarde]
824;Deze Giropay-transactie is door de bank afgewezen.
830;Issuer (bankleitzahl) is onbekend: [waarde]
831;Om technische reden kon de status van deze transactie nog niet bij de bank worden achterhaald. De transactie is nog niet afgerond.
833;De entrance-code [waarde] is ongeldig.
834;Er is een systeemfout opgetreden. We zullen deze zo snel mogelijk verhelpen. De status zal daarna worden herzien.
835;Het Giropay transactie-id is ongeldig of niet beschikbaar.
836;Er kon geen transactie worden gevonden. Criteria: [waarde]
890;Geannuleerd door consument
891;Geannuleerd door merchant
900;Geen XML-bericht ontvangen.
901;Ongeldig XML-bericht.  [waarde]
910;0 EUR transactie, Customergegevens opgeslagen.
931;[nodetype] [element] ontbreekt.
932;Teveel elementen type [element] (max. 1).
933;Waarde [nodetype] [element] ontbreekt.
934;Waarde [nodetype] [element] (occurance [occurance]) ontbreekt.
935;Waarde attribuut [attribuut] ontbreekt in element [element].
940;Ongeldig request: [waarde].
941;Waarde veld [veld] ongeldig: [waarde].
942;Waarde attribuut [veld] ongeldig: [waarde].
943;Creditcard-type onbekend: [waarde]. (mastercard of visa)
944;Kaartnummer ongeldig (Luhn-check): [waarde].
945;Valuta onbekend ongeldig: [waarde].
946;Bedrag is geen numerieke waarde: [waarde].
947;Bedrag ongeldig: [waarde].
948;CVC-code ongeldig: [waarde].
949;Maand geldigheidsduur creditcard ongeldig: [waarde].
950;Jaar geldigheidsduur creditcard ongeldig: [waarde].
951;Taal onbekend of niet ondersteund: [waarde].
952;Het factuurnummer ontbreekt. Dit veld is verplicht.
953;Geblokkeerd door velocitycheck
954;Het transactie-ID [waarde] is al in gebruik.
955;Authenticatie voor deze creditcard betaling is afgewezen
956;De enrolled status van de creditcard kon niet achterhaald worden.
960;Klantnummer ongeldig: [waarde].
961;Creditcard-type niet geactiveerd: [waarde].
962;Gekozen valuta ongeldig voor Merchant: [waarde].
963;Het transactie-id is ongeldig: [waarde]
964;Er zijn geen betaalmethoden geactiveerd.
971;Er is geen naam opgegeven.
972;Er is geen adres ingevuld.
973;Er is geen postcode ingevuld.
974;Er is geen plaats ingevuld.
975;Er is geen land ingevuld.
976;Er is geen geslacht ingevuld.
977;Mailadres ongeldig
978;De XML koppeling voor creditcards is nog niet geactiveerd.
980;De betaalmethode [waarde] is niet geactiveerd.
981;De datum van het abonnement is geen geldige datum.
982;Het abonnement is nog niet ingegaan.
983;Het abonnement is verlopen.
990;De digitale handtekening is incorrect: [waarde].
991;Er is een fout opgetreden bij het verwerken van de transactie. De Merchant Account Code kon niet worden gelocaliseerd.
992;Er is fout opgetreden bij het verwerken van de response. We zullen de storing zo snel mogelijk verhelpen.
993;Er is een fout opgetreden bij het verwerken van de transactie.
999;Er is een fout opgetreden waarvan de oorzaak vooralsnog onbekend is. We zullen de storing zo snel mogelijk verhelpen.
